Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,18,2,156,mcg/m^3
Beijing,2014,4,18,3,143,mcg/m^3
Beijing,2014,4,18,4,141,mcg/m^3
Beijing,2014,4,18,5,140,mcg/m^3
Beijing,2014,4,18,6,150,mcg/m^3
Beijing,2014,4,18,7,162,mcg/m^3
Beijing,2014,4,18,8,171,mcg/m^3
Beijing,2014,4,18,9,179,mcg/m^3
Beijing,2014,4,18,10,193,mcg/m^3
Beijing,2014,4,18,11,170,mcg/m^3
Beijing,2014,4,18,12,167,mcg/m^3
Beijing,2014,4,18,13,158,mcg/m^3
Beijing,2014,4,18,14,158,mcg/m^3
Beijing,2014,4,18,15,176,mcg/m^3
Beijing,2014,4,18,16,162,mcg/m^3
Beijing,2014,4,18,17,153,mcg/m^3
Beijing,2014,4,18,18,129,mcg/m^3
Beijing,2014,4,18,19,92,mcg/m^3
Beijing,2014,4,18,20,83,mcg/m^3
Beijing,2014,4,18,21,74,mcg/m^3
Beijing,2014,4,18,22,86,mcg/m^3
Beijing,2014,4,18,23,83,mcg/m^3
Beijing,2014,4,19,0,84,mcg/m^3
Beijing,2014,4,19,1,84,mcg/m^3
Beijing,2014,4,19,2,77,mcg/m^3
Beijing,2014,4,19,3,75,mcg/m^3
Beijing,2014,4,19,4,64,mcg/m^3
Beijing,2014,4,19,5,59,mcg/m^3
Beijing,2014,4,19,6,59,mcg/m^3
Beijing,2014,4,19,7,72,mcg/m^3
Beijing,2014,4,19,8,69,mcg/m^3
Beijing,2014,4,19,9,69,mcg/m^3
Beijing,2014,4,19,10,56,mcg/m^3
Beijing,2014,4,19,11,44,mcg/m^3
Beijing,2014,4,19,12,48,mcg/m^3
Beijing,2014,4,19,13,40,mcg/m^3
Beijing,2014,4,19,14,46,mcg/m^3
Beijing,2014,4,19,15,55,mcg/m^3
Beijing,2014,4,19,16,57,mcg/m^3
Beijing,2014,4,19,17,52,mcg/m^3
Beijing,2014,4,19,18,55,mcg/m^3
Beijing,2014,4,19,19,59,mcg/m^3
Beijing,2014,4,19,20,67,mcg/m^3
Beijing,2014,4,19,21,72,mcg/m^3
Beijing,2014,4,19,22,78,mcg/m^3
Beijing,2014,4,19,23,95,mcg/m^3
Beijing,2014,4,20,0,105,mcg/m^3
Beijing,2014,4,20,1,112,mcg/m^3
Beijing,2014,4,20,2,128,mcg/m^3
Beijing,2014,4,20,3,127,mcg/m^3
Beijing,2014,4,20,4,128,mcg/m^3
Beijing,2014,4,20,5,121,mcg/m^3
